from_station_id,to_station_id,count,from_station_addy,to_station_addy,from_station_lng,to_station_lng,from_station_lat,to_station_lat,polyline,distance,time
249,177,1104,Montrose Harbor,Theater on the Lake,-87.638181,-87.630834,41.963982,41.926277,}ac_Gh{{uO`AF??h@TXP^\Zb@Vh@TnADh@f@~JH~A`@vGj@xIBZ??@NERPdCJr@HL@R??z@Q|IqAvBKdC]NAJC`@GnAWl@MlGmBvAa@`AUhAQhAMVCh@C|BE~CDjAAjA@nA?p@A`@E`AQfA_@jCqAzBkAvDkBvGcD|@a@|FqCzM}Ff@U~BcA~As@pBeAb@YfCmBnBcBt@w@t@{@rAkBbAyAj@}@R[PWbFuHfAoAz@y@h@_@h@g@bBcAh@Wp@YxAg@vA[nBWr@E^Az@?d@?d@@pQDdBEbBOlAS??rBEzC@n@Ax@ETE??OeBE_@KgA,3.21,308
76,6,1103,Lake Shore Dr & Monroe St,Dusable Harbor,-87.616743,-87.61279454,41.880958,41.88504199,{zr~F~swuO@v@?\??k@Ai@?k@CeAKKEYI_@U??q@y@i@y@_@eAMk@WoBOu@g@yAw@qAWY{@q@}@g@??CcACGIG??I@,0.382,57
90,76,1057,Millennium Park,Lake Shore Dr & Monroe St,-87.62408432,-87.616743,41.8810317,41.880958,m{r~FlbyuOUAS?sAG_@@o@?G?U?oEDcBDM@M@o@Dk@BWB??B[NU@O?U@{A?aA?_ALgB?wCAM?mC??l@?^AjCC~@?l@@vALf@Dd@Bt@@l@Ab@?ROZ????YAaB?{A?qA?iAAoCAeB?_@?u@?]Aw@,0.866,188
341,35,1039,Adler Planetarium,Streeter Dr & Illinois St,-87.607267,-87.6122,41.866095,41.891071,w~o~FfyuuOCCm@@CB@~O?XH|M?^@tA?f@?r@Bl@DXPPVHNCRE^GzBEX???B\@vB?fA?\Bd@?nD@tB?H?p@?z@?jB?tAA^@p@??w@J}BXm@Da@Bm@Ek@I]Ik@Wg@YYWoBgB_@Y_@_@_@[s@o@s@k@aAe@s@Qg@Go@CoE@sDD}FDM?gDBeA@iGFm@?qCD{HDiC@yBBq@@gEBk@Ai@?k@CeAKKEYI_@U??q@y@i@y@_@eAMk@WoBOu@g@yAw@qAWY{@q@}@g@??QIMGo@Oo@G_AB_AFaCPgCRUDI@SLKAGBYVQVKLMFM@G?I?c@?M?{@@iA@??mBUqDYeACI?IAu@?a@@???O?eAAmF,2.731,408
283,174,1009,LaSalle St & Jackson Blvd,Canal St & Madison St,-87.631985,-87.639833,41.87817,41.882091,iir~FzrzuO?SC_FAcE?{A??mC@oB@???`H@rA@l@BnDB|G?H@t@DhFBzCAzA?l@AP?^?N?Z@fF?Z@^@fE??}B@eCBwB@Y@mB@i@?,0.948,158
35,199,995,Streeter Dr & Illinois St,Wabash Ave & Grand Ave,-87.6122,-87.626937,41.891071,41.891738,ozt~FdwvuOA{B??eDD??@jABhFDvBDzBAl@@nB@xB?fABjD@dC@rD?fE@xB?X@|DJxG?T@rF@|@?rEBhG?n@,0.88,128
192,52,990,Canal St & Adams St,Michigan Ave & Lake St,-87.639904,-87.624117,41.879255,41.886024,upr~Fjd|uOAlFBjBB~D??{F@eDD_B@kGJ???iH@K??EQ@sB@wBDO?OAoCE{A?GAqC@yB?S?_@?QAgA@_FAuG?MAeF?aA?eA?cFAgH?mH?]EyC?_A@uA?KAsA?sA@qB?s@?Y?_@??cBDM@M@o@Dk@BWBqBFqABaABgB?A?,1.574,270
90,255,984,Millennium Park,Indiana Ave & Roosevelt Rd,-87.62408432,-87.623041,41.8810317,41.867888,m{r~FlbyuOUAS?sAG_@@o@?G?U?oEDcBDM@M@o@Dk@BWB??B[NU@O?U@{A?aA?_ALgB?wCAM?mC??l@?^AjCC~@?l@@vALf@Dd@Bt@@l@Ab@?ROZ?hA?Z?v@AdCExBCf@At@C|AA^?pAAT?n@A`CAvA?L?H?bBEvBC`@?h@?dAAbA?dA?~DAdA?rA?hDC|@Al@?rA?x@Ab@AZAH?L?X?j@?\ATLxACz@G???d@@p@@~@@r@@fB?nA@j@@hA?N@pB?J@`A??O?Y?e@A,1.791,288
35,341,978,Streeter Dr & Illinois St,Adler Planetarium,-87.6122,-87.607267,41.891071,41.866095,ozt~FdwvuOA{B??eDD??@jABhFDvBDzB??xCM~A?H?dAA^AnDC??NI|@?L?|@AnAAd@?n@AFDVC??HAJK\SREN?tBIhEEp@@TDn@NLFb@VNPNFPJn@j@n@v@V`@j@pA`AtC^z@Zj@r@t@`@Zn@^XJr@P`@D|@BfA?~NMxNK\?nBCrBGP@b@ClECfSKh@Bn@Hj@Pf@Vv@j@p@l@r@n@d@b@vAnANNRN???f@M^AhA?d@@|A?`@??\En@OhCk@vA[`AU??RSHE|A]JEJODa@?iAAq@@_@?uA?kB?{@?q@?IAuB?oDCe@?]?gAAwBC]?_@??O?I?kA?c@CYGIEQEGEGA???}@?o@?k@?e@?YIgN?W?OKmO,2.974,432
296,117,978,Broadway & Belmont Ave,Wilton Ave & Belmont Ave,-87.645451,-87.65304,41.940106,41.94018,il~~F`g}uO@nG@~@B`H@|@?fA?lA@z@?X@xB?dB@x@BtG?dB@R?xB??iJH??AwB?yB??tAE~DCd@A,0.742,169
